Pay Grade/Step,Annual Salary,Class .,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N,County
SR1200,54282.61,07783,Info Systems App Analyst 3,Information Technology Service,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1974,10/25/2012,Y,DAVIDSON
SR0401,23113.2,02900,Circulation Asst 1,Public Library,Full Time,006,Administrative Support,F,02,Black,1988,12/08/2014,N,DAVIDSON
MAC08B,37426.69,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1986,10/29/2012,N,WILLIAMSON
NS,35148,,.,Circuit Court Satellite,Full Time,006,Administrative Support,F,02,Black,1956,11/01/2012,N,DAVIDSON
NS,63125,10661,Special Proj Asst-Mayor's Off,Administrative,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1987,10/29/2012,N,DAVIDSON
SR1300,63782.78,10108,Finance Admin,Finance,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1972,10/29/2012,Y,MAURY
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,11/01/2012,N,RUTHERFORD
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,11/01/2012,N,DICKSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,02,Black,1986,01/01/2013,N,DAVIDSON
SR0509,32863.19,10755,Call Center Operator-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1989,11/01/2012,N,DAVIDSON
CO0202,37153.4,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1980,11/01/2012,N,MONTGOMERY
CO0201,35955.04,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1984,11/01/2012,N,DAVIDSON
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,11/01/2012,N,DAVIDSON
CO0105,36672.57,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,11/01/2012,N,DAVIDSON
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1988,11/01/2012,N,DAVIDSON
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1989,11/01/2012,N,DAVIDSON
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1990,11/01/2012,N,DAVIDSON
CO0201,35955.04,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1966,11/01/2012,N,DAVIDSON
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1964,11/01/2012,N,RUTHERFORD
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1989,11/01/2012,N,DAVIDSON
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,11/01/2012,N,DAVIDSON
CO0201,35955.04,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,03,Hispanic,1982,11/01/2012,N,DAVIDSON
