Pay Grade/Step,Annual Salary,Class .,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N
SR1200,56318.21,07783,Info Systems App Analyst 3,Information Technology Service,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1974,10/25/2012,Y
SR0401,23691.03,02900,Circulation Asst 1,Public Library,Full Time,006,Administrative Support,F,02,Black,1988,12/8/2014,N
MAC08B,38362.36,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1986,10/29/2012,N
NS,36036,,                             .,Circuit Court Satellite,Full Time,006,Administrative Support,F,02,Black,1956,11/1/2012,N
SR1300,67338.67,10108,Finance Admin,Finance,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1972,10/29/2012,Y
CO0104,36483.46,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,11/1/2012,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,02,Black,1986,1/1/2013,N
SR0801,36853.92,10745,WO Orders of Prot/Dis Op-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1989,11/1/2012,N
CO0203,39310.55,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1980,11/1/2012,N
CO0202,38082.24,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1984,11/1/2012,N
CO0202,38082.24,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,11/1/2012,N
CO0205,41767.19,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,11/1/2012,N
SR0802,38082.24,10745,WO Orders of Prot/Dis Op-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1988,11/1/2012,N
CO0104,36483.46,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1989,11/1/2012,N
CO0202,38082.24,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1966,11/1/2012,N
