|Department|Title|Pay Grade|Annual Salary|Ethnic Code|Description|Gender|Year of Birth|EEO Job description
2528|Agricultural Extension|Extension Agent 1|SR02|18,654.56|02|Black|F|1984|Professionals
2239|Agricultural Extension|Extension Agent 3|SR06|28,739.77|01|White (Not of Hispanic Origin)|M|1951|Professionals
1823|Agricultural Extension|Extension Agent 3|SR06|30,656.74|02|Black|F|1953|Professionals
2492|Agricultural Extension|Extension Agent 3|SR06|30,656.74|01|White (Not of Hispanic Origin)|M|1961|Professionals
1770|Agricultural Extension|Extension Agent 3|SR06|31,615.22|02|Black|F|1950|Professionals
1788|Agricultural Extension|Extension Agent 3|SR06|37,366.13|01|White (Not of Hispanic Origin)|F|1952|Professionals
2062|Agricultural Extension|Extension Director|SR08|41,531.53|01|White (Not of Hispanic Origin)|M|1952|Professionals
581|Arts Commission|Arts Commission Exec Dir|DP01|103,530.00|01|White (Not of Hispanic Origin)|F|1972|Officials and Administrators
2581|Arts Commission|Program Spec 1|SR06|15,175.68|02|Black|F|1987|Professionals
7231|Arts Commission|Office Support Spec 2|SR08|41,531.53|01|White (Not of Hispanic Origin)|F|1950|Administrative Support
658|Arts Commission|Admin Svcs Officer 3|SR10|45,002.34|01|White (Not of Hispanic Origin)|F|1988|Professionals
2437|Arts Commission|Finance Spec|SR11|51,154.38|01|White (Not of Hispanic Origin)|M|1977|Professionals
1179|Arts Commission|Admin Svcs Officer 4|SR12|54,810.00|01|White (Not of Hispanic Origin)|F|1970|Professionals
2693|Arts Commission|Admin Svcs Officer 4|SR12|66,333.00|01|White (Not of Hispanic Origin)|F|1974|Professionals
593|Arts Commission|Admin Svcs Mgr|SR13|66,502.80|01|White (Not of Hispanic Origin)|F|1971|Officials and Administrators
598|Arts Commission|Admin Svcs Mgr|SR13|73,892.00|01|White (Not of Hispanic Origin)|F|1977|Officials and Administrators
19|Assessor of Property|Tax Assessor|NS|125,453.00|01|White (Not of Hispanic Origin)|M|1959|Elected Officials
336|Assessor of Property|Seasonal/Part-time/Temporary|NS|22,464.00|01|White (Not of Hispanic Origin)|F|1941|Officials and Administrators
412|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|5,200.00|01|White (Not of Hispanic Origin)|M|1950|Officials and Administrators
483|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1956|Officials and Administrators
484|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,082.50|01|White (Not of Hispanic Origin)|M|1966|Officials and Administrators
485|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,082.50|01|White (Not of Hispanic Origin)|F|1946|Officials and Administrators
486|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1958|Officials and Administrators
