Address Number|Pay Grade/Step|Annual Salary|Class #|Class # Description|Current Dept|Department|Employment Status|Employment Status Description|EEO Job Cat|EEO Job Cat Description|Gender|Ethnic Code|Description|Year of Birth
100068|SR1200| $54,282.61 |07783|Info Systems App Analyst 3|014|Information Technology Service|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1974
101059|SR0401| $23,113.20 |02900|Circulation Asst 1|039|Public Library|F|Full Time|006|Administrative Support|F|02|Black|1988
101230|MAC08B| $37,426.69 |10236|Headstart Teacher 2|075|Metro Action Commission|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1986
101618|| $35,148.00 ||.|923|Circuit Court Satellite|F|Full Time|006|Administrative Support|F|02|Black|1956
101620|NS| $63,125.00 |10661|Special Proj Asst-Mayor's Off|001|Administrative|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1987
101728|SR1300| $63,782.78 |10108|Finance Admin|015|Finance|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1972
101846|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1989
101848|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1986
101850|PS0401| $44,887.30 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|02|Black|1986
101851|SR0509| $32,863.19 |10121|Office Support Rep 2|030|Sheriff|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1989
101853|CO0202| $37,153.40 |06981|Correctional Officer 2|030|Sheriff|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1980
101854|CO0201| $35,955.04 |06981|Correctional Officer 2|030|Sheriff|F|Full Time|004|Protective Service Workers|F|02|Black|1984
101855|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
101856|CO0105| $36,672.57 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1986
101859|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1988
101860|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|F|02|Black|1989
101863|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|M|02|Black|1990
101864|CO0201| $35,955.04 |06981|Correctional Officer 2|030|Sheriff|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1966
101865|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|F|02|Black|1964
101866|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|F|02|Black|1989
101867|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1983
101869|CO0201| $35,955.04 |06981|Correctional Officer 2|030|Sheriff|F|Full Time|004|Protective Service Workers|M|03|Hispanic|1982
