Pay Grade/Step,Annual Salary,Class ,Title,Department,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Description,Year of Birth,Date Started,FLSA Exempt Y/N
SR1200,54282.61,07783,Info Systems App Analyst 3,Information Technology Service,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1974,10/25/2012,Y
SR0401,23113.2,02900,Circulation Asst 1,Public Library,Full Time,6,Administrative Support,F,02,Black,1988,12/08/2014,N
MAC08B,37426.69,10236,Headstart Teacher 2,Metro Action Commission,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1986,10/29/2012,N
NS,35148,,.,Circuit Court Satellite,Full Time,6,Administrative Support,F,02,Black,1956,11/01/2012,N
NS,63125,10661,Special Proj Asst-Mayor's Off,Administrative,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1987,10/29/2012,N
SR1300,63782.78,10108,Finance Admin,Finance,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1972,10/29/2012,Y
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,11/01/2012,N
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,11/01/2012,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,02,Black,1986,01/01/2013,N
SR0509,32863.19,10755,Call Center Operator-DCSO,Sheriff,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1989,11/01/2012,N
CO0202,37153.4,06981,Correctional Officer 2,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1980,11/01/2012,N
CO0201,35955.04,06981,Correctional Officer 2,Sheriff,Full Time,4,Protective Service Workers,F,02,Black,1984,11/01/2012,N
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,11/01/2012,N
CO0105,36672.57,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,11/01/2012,N
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1988,11/01/2012,N
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,F,02,Black,1989,11/01/2012,N
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,M,02,Black,1990,11/01/2012,N
CO0201,35955.04,06981,Correctional Officer 2,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1966,11/01/2012,N
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,F,02,Black,1964,11/01/2012,N
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,F,02,Black,1989,11/01/2012,N
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,11/01/2012,N
CO0201,35955.04,06981,Correctional Officer 2,Sheriff,Full Time,4,Protective Service Workers,M,03,Hispanic,1982,11/01/2012,N
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,11/01/2012,N
SR0803,38351.76,07375,Probation Officer 1,Juvenile Court,Full Time,2,Professionals,M,02,Black,1985,11/05/2012,N
SR0803,38351.76,07375,Probation Officer 1,Juvenile Court,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1982,11/05/2012,N
CA0300,38313.6,10654,Accounting Clerk-Conv Ctr,Convention Center Authority,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1980,11/05/2012,N
SR1103,51665.92,07756,Technical Specialist 1,Police,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1966,11/16/2012,N
HD0300,33880.83,10758,Public Health Nurse 1,Health,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1962,10/27/2012,N
SR0600,30595.14,10544,Animal Care & Control Off 1,Health,Full Time,8,Service Maintenance,F,01,White (Not of Hispanic Origin),1992,11/01/2012,N
SR0600,30595.14,10544,Animal Care & Control Off 1,Health,Full Time,8,Service Maintenance,F,01,White (Not of Hispanic Origin),1988,11/01/2012,N
NS,12570.85,09020,Seasonal/Part-time/Temporary,Health,Part Time,5,Para-Professional,F,01,White (Not of Hispanic Origin),1993,11/05/2012,N
SR0703,25885.08,06880,Recreation Leader,Parks,Part Time,5,Para-Professional,F,02,Black,1956,10/30/2012,N
TG1102,40172.35,01880,Equip Mechanic,General Services,Full Time,7,Skilled Craft Workers,M,02,Black,1976,10/29/2012,N
SR0901,39821.99,07241,Admin Asst,Public Works,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1973,11/12/2012,N
ET0301,39821.99,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1979,11/12/2012,N
ET0301,39821.99,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1982,11/12/2012,N
SR0703,34514.67,10123,Office Support Spec 1,Metropolitan Clerk,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1982,11/19/2012,N
SR0902,20574.32,10119,Office Support Mgr,Justice Integration Services,Part Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1957,11/19/2012,Y
MAC08B,37426.69,10236,Headstart Teacher 2,Metro Action Commission,Full Time,2,Professionals,F,02,Black,1989,11/12/2012,N
SR1300,65127.16,07346,Human Resources Admin,Public Library,Full Time,2,Professionals,F,02,Black,1962,11/19/2012,Y
MAC01A,24172.43,10250,Teacher Asst,Metro Action Commission,Full Time,6,Administrative Support,F,02,Black,1965,11/10/2014,N
HD0300,33880.83,10758,Public Health Nurse 1,Health,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1950,11/10/2012,N
SP0103,8763.3,03445,School Crossing Guard,Police,Part Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1956,11/07/2012,N
CA0800,67932.8,10630,Engineering Mgr-Convention Ctr,Convention Center Authority,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1957,11/26/2012,Y
PD0100,54227.7,10171,Asst Pub Defender,Public Defender,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1980,12/03/2012,Y
NS,8869.54,07243,Admin Svcs Officer 2,Sheriff,Part Time,2,Professionals,M,01,White (Not of Hispanic Origin),1954,11/26/2012,N
CO0102,33435.72,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,11/26/2012,N
SR1000,46665.17,10151,Finance Officer 2,Finance,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1976,12/03/2012,N
HD0300,49066.24,10758,Public Health Nurse 1,Health,Full Time,2,Professionals,F,02,Black,1968,12/01/2012,N
SR0603,30963.3,03440,Equip & Supply Clerk 2,Fire,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1972,12/01/2012,N
SR0701,15535.1,06880,Recreation Leader,Parks,Part Time,5,Para-Professional,M,02,Black,1984,11/30/2012,N
SR0703,16566.45,06880,Recreation Leader,Parks,Part Time,5,Para-Professional,F,01,White (Not of Hispanic Origin),1963,11/30/2012,N
SR1300,74226.95,07242,Admin Svcs Mgr,Public Defender,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1960,12/17/2012,Y
SR0502,26810.62,07363,Police Operations Asst 2,Police,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1983,12/16/2012,N
SR0702,33435.72,07365,Police Operations Coord 1,Police,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1986,12/16/2012,N
SR0803,38351.76,07784,Info Systems App Tech 1,Public Library,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1974,12/17/2012,N
TG0702,33250.76,06827,Equip Operator 2,Public Works,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1988,12/10/2012,N
TG0502,29631.63,06826,Equip Operator 1,Public Works,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1987,12/10/2012,N
SR0600,30595.14,10122,Office Support Rep 3,Health,Full Time,6,Administrative Support,F,03,Hispanic,1975,12/17/2012,N
HD1100,135934.89,07424,Medical Doctor,Health,Full Time,2,Professionals,F,02,Black,1975,12/17/2012,Y
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,F,03,Hispanic,1986,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,03,Hispanic,1989,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1980,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,03,Hispanic,1986,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1971,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1986,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,03,Hispanic,1983,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,04,Asian or Pacific Islander,1986,01/01/2013,N
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,04,Asian or Pacific Islander,1988,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,F,02,Black,1974,01/01/2013,N
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1988,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1984,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
SR0901,39821.99,10647,PT Case Officers,Sheriff,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1989,10/01/2013,N
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1986,01/01/2013,N
