ethnicityId,salaryBucketId,departmentId,gender
1,1,0,F
2,0,1,F
1,1,2,F
2,1,3,F
1,2,4,F
1,1,5,M
2,1,6,M
1,1,5,F
1,1,5,M
2,1,5,F
1,1,5,M
1,1,5,F
2,1,7,F
1,1,5,M
2,1,5,F
2,1,5,F
3,1,5,M
1,1,5,M
1,1,8,M
1,1,9,F
1,1,10,M
2,0,11,F
2,0,11,F
31,1,12,M
31,1,13,F
1,1,13,M
1,1,14,M
1,1,4,F
2,1,2,F
2,2,1,F
1,1,9,F
1,2,15,M
1,0,5,M
1,1,4,M
2,1,9,F
1,1,6,M
1,0,11,F
2,1,1,F
1,0,16,F
1,2,15,F
1,1,5,F
1,1,10,F
1,1,1,F
1,1,17,M
1,1,17,M
3,1,9,F
1,1,10,M
1,1,10,M
3,1,10,F
3,1,10,M
1,1,10,M
1,1,10,M
2,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
3,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
31,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
4,1,10,M
1,1,10,M
1,1,10,M
4,1,10,M
2,1,10,F
1,1,10,M
1,1,10,M
1,1,10,M
31,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
1,1,10,F
1,1,10,M
1,1,5,M
2,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
2,1,10,M
2,1,10,M
1,1,10,M
31,1,10,M
1,1,10,M
1,1,10,F
1,1,10,M
1,1,10,M
3,1,10,M
2,1,10,M
1,1,5,M
1,1,10,M
1,1,10,M
1,1,10,M
2,1,10,M
1,1,10,F
2,1,1,M
1,1,1,M
3,2,18,F
1,1,19,F
1,1,20,M
3,1,9,F
2,1,21,F
1,1,22,F
1,1,6,M
1,1,6,M
1,1,6,M
1,1,6,M
1,1,6,M
1,1,6,M
1,1,6,M
1,1,6,F
1,1,6,M
31,1,6,M
1,1,6,M
1,1,6,M
1,1,6,M
1,1,6,M
2,1,6,M
1,1,6,M
1,1,6,M
1,1,6,F
1,1,6,M
1,1,6,M
1,1,6,M
1,1,6,M
1,1,6,F
1,1,6,M
1,1,6,F
1,1,6,M
1,1,6,M
3,1,17,M
2,0,2,F
1,1,4,M
1,1,19,F
2,1,19,M
1,0,4,F
1,0,23,F
3,1,10,M
1,1,11,F
2,0,11,F
1,2,19,M
1,0,2,M
99,1,17,M
1,1,24,M
1,1,9,F
31,1,9,F
1,1,9,F
1,0,11,F
2,0,11,M
3,1,9,F
1,1,9,M
1,1,7,F
1,1,3,F
31,2,25,F
2,1,25,F
1,1,17,M
1,1,13,F
1,1,13,M
4,2,26,F
1,1,27,M
1,1,28,M
1,1,10,F
1,1,5,F
1,1,5,M
1,1,5,M
2,1,6,F
1,1,6,M
2,1,5,M
2,1,5,M
2,1,5,F
1,1,5,M
1,1,5,M
1,1,5,M
1,1,5,M
1,0,2,F
2,1,28,M
1,1,6,M
1,1,6,M
1,1,19,M
1,0,1,F
2,1,28,F
1,1,11,M
1,2,3,F
1,0,28,M
1,0,11,F
1,1,17,F
1,2,19,M
1,0,5,F
1,1,28,F
2,2,28,M
2,1,28,M
2,1,28,M
1,1,4,F
1,1,28,M
1,1,19,M
1,0,11,M
1,1,28,F
1,1,9,M
2,1,10,M
1,1,5,M
2,1,21,F
1,2,28,M
1,1,28,M
1,1,10,F
1,0,1,F
2,1,19,M
1,1,19,M
1,2,19,M
1,1,19,M
2,0,28,M
2,1,28,M
1,1,11,M
1,0,11,M
1,1,1,F
31,1,10,F
2,1,17,M
2,1,29,F
1,1,5,M
2,1,28,M
1,2,28,M
1,2,18,M
2,0,28,F
2,1,9,F
2,0,26,F
1,1,22,M
1,1,19,M
1,0,11,M
2,1,5,F
1,1,28,F
1,0,2,F
2,0,28,M
1,1,9,F
31,1,9,F
1,2,30,M
1,1,10,M
31,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
1,1,10,M
1,1,10,F
1,1,10,M
1,1,10,M
1,1,10,M
2,1,10,M
1,1,10,M
1,1,10,M
2,1,10,M
